order_item_id,order_id,product_id,quantity,unit_price,line_total
65,21,194,3,402.11,1206.33
66,21,36,3,89.71,269.13
67,21,30,4,142.6,570.4
68,22,15,2,142.55,285.1
69,22,27,3,117.81,353.43
70,22,154,4,255.41,1021.64
71,22,169,4,427.19,1708.76
72,23,174,4,320.37,1281.48
73,23,100,2,453.18,906.36
74,24,171,1,50.69,50.69
75,24,101,1,40.07,40.07
76,24,130,4,81.62,326.48
77,24,98,2,40.14,80.28
78,24,200,4,178.08,712.32
79,25,163,2,469.77,939.54
80,25,153,4,41.26,165.04
81,25,60,3,266.91,800.73
82,26,34,4,468.64,1874.56
83,26,193,3,392.28,1176.84
84,26,8,1,303.0,303.0
85,27,151,2,9.61,19.22
86,27,178,1,42.25,42.25
87,27,10,1,352.16,352.16
88,28,82,2,47.4,94.8
89,28,25,2,290.79,581.58
90,28,138,2,38.92,77.84
91,28,1,4,60.11,240.44
92,28,130,1,81.62,81.62
93,29,49,2,74.12,148.24
94,29,111,1,338.32,338.32
95,29,114,2,128.08,256.16
96,30,127,4,146.2,584.8
97,30,131,4,112.76,451.04
98,30,35,2,40.34,80.68
99,31,59,3,193.9,581.7
100,32,55,1,379.11,379.11
101,32,176,3,278.08,834.24
102,32,120,4,499.64,1998.56
103,32,133,3,35.17,105.51
104,32,10,1,352.16,352.16
105,33,28,4,492.68,1970.72
106,33,25,1,290.79,290.79
107,33,10,4,352.16,1408.64
108,33,117,3,234.0,702.0
109,34,2,4,141.14,564.56
110,34,117,2,234.0,468.0
111,35,105,4,290.22,1160.88
112,35,38,4,192.83,771.32
113,35,101,4,40.07,160.28
114,35,155,3,466.96,1400.88
115,35,26,3,39.43,118.29
116,36,138,4,38.92,155.68
117,36,163,2,469.77,939.54
118,36,104,4,363.06,1452.24
119,37,22,1,44.01,44.01
120,37,30,4,142.6,570.4
121,37,34,3,468.64,1405.92
122,38,96,3,296.21,888.63
123,38,87,3,436.85,1310.55
124,38,169,3,427.19,1281.57
125,39,30,2,142.6,285.2
126,40,182,4,217.74,870.96
127,40,113,4,365.47,1461.88
128,40,103,1,111.05,111.05
129,40,97,1,296.28,296.28
130,41,17,3,55.59,166.77
131,41,74,4,190.09,760.36
132,41,131,3,112.76,338.28
133,42,35,4,40.34,161.36
134,42,12,3,142.7,428.1
135,42,72,3,421.63,1264.89
136,43,114,1,128.08,128.08
137,43,62,2,341.74,683.48
138,43,13,2,380.61,761.22
139,44,139,3,339.23,1017.69
140,44,141,1,126.88,126.88
141,44,38,2,192.83,385.66
142,44,77,3,165.46,496.38
143,44,128,2,478.87,957.74
144,45,52,2,449.42,898.84
145,45,139,3,339.23,1017.69
146,45,161,1,409.47,409.47
147,45,188,1,487.05,487.05
148,45,150,3,464.86,1394.58
149,46,102,1,142.85,142.85
150,47,91,3,202.5,607.5
151,47,27,2,117.81,235.62
152,47,50,1,282.88,282.88
153,47,104,3,363.06,1089.18
154,48,163,4,469.77,1879.08
155,48,124,1,451.71,451.71
156,48,92,1,326.69,326.69
157,48,158,2,417.7,835.4
158,49,35,2,40.34,80.68
159,50,88,2,482.36,964.72
160,50,102,4,142.85,571.4
161,50,123,4,243.27,973.08
162,50,133,4,35.17,140.68
163,50,153,3,41.26,123.78
164,51,166,1,139.81,139.81
165,51,136,2,82.93,165.86
166,51,173,2,6.76,13.52
167,51,167,3,109.26,327.78
168,51,79,1,439.97,439.97
169,52,156,1,440.24,440.24
170,52,119,4,53.46,213.84
171,53,132,1,291.69,291.69
172,53,95,2,36.69,73.38
173,53,145,3,467.68,1403.04
174,54,114,2,128.08,256.16
175,55,144,1,284.79,284.79
176,55,71,2,435.91,871.82
177,55,187,2,442.65,885.3
178,55,16,3,478.82,1436.46
179,56,109,3,214.67,644.01
180,56,67,4,6.61,26.44
181,56,18,1,52.87,52.87
182,57,39,4,345.64,1382.56
183,57,105,4,290.22,1160.88
184,57,63,1,342.45,342.45
185,58,167,3,109.26,327.78
186,58,72,1,421.63,421.63
187,58,60,1,266.91,266.91
188,59,56,1,80.66,80.66
189,59,123,2,243.27,486.54
190,59,167,4,109.26,437.04
191,60,21,4,66.79,267.16
192,60,96,4,296.21,1184.84
193,61,141,3,126.88,380.64
194,61,169,1,427.19,427.19
195,61,107,2,99.25,198.5
196,62,22,4,44.01,176.04
197,62,123,1,243.27,243.27
198,62,99,4,34.14,136.56
199,63,101,4,40.07,160.28
200,64,92,1,326.69,326.69
201,64,67,2,6.61,13.22
202,64,163,3,469.77,1409.31
203,64,15,4,142.55,570.2
204,65,64,3,376.68,1130.04
205,65,113,2,365.47,730.94
206,66,121,1,484.65,484.65
207,67,129,3,332.63,997.89
208,67,135,1,241.01,241.01
209,68,87,4,436.85,1747.4
210,69,89,3,378.86,1136.58
211,69,79,3,439.97,1319.91
212,69,149,4,153.5,614.0
213,69,96,4,296.21,1184.84
214,70,172,2,415.53,831.06
215,70,119,2,53.46,106.92
216,70,189,1,81.5,81.5
217,70,35,3,40.34,121.02
218,71,5,3,48.03,144.09
219,72,186,4,55.88,223.52
220,72,118,4,224.35,897.4
221,73,49,3,74.12,222.36
222,73,149,2,153.5,307.0
223,73,68,2,438.55,877.1
224,73,25,4,290.79,1163.16
225,74,149,3,153.5,460.5
226,75,134,2,33.3,66.6
227,75,192,4,93.78,375.12
228,75,37,1,126.18,126.18
229,75,188,2,487.05,974.1
230,76,57,1,397.08,397.08
231,76,184,4,449.97,1799.88
232,76,156,1,440.24,440.24
233,76,23,2,415.56,831.12
234,77,46,4,110.25,441.0
235,78,123,3,243.27,729.81
236,79,77,4,165.46,661.84
237,79,160,1,266.83,266.83
238,79,58,1,300.22,300.22
239,80,189,1,81.5,81.5
240,80,99,4,34.14,136.56
241,81,158,2,417.7,835.4
242,81,183,3,157.59,472.77
243,81,145,1,467.68,467.68
244,81,194,1,402.11,402.11
245,82,130,3,81.62,244.86
246,82,31,4,417.88,1671.52
247,82,84,2,384.09,768.18
248,83,97,2,296.28,592.56
249,83,46,1,110.25,110.25
250,84,188,2,487.05,974.1
251,84,104,2,363.06,726.12
252,84,137,4,44.66,178.64
253,84,186,3,55.88,167.64
254,85,25,3,290.79,872.37
255,85,144,2,284.79,569.58
256,85,14,1,350.58,350.58
257,85,169,4,427.19,1708.76
258,86,79,4,439.97,1759.88
259,86,164,3,135.91,407.73
260,86,35,2,40.34,80.68
261,87,50,4,282.88,1131.52
262,87,23,3,415.56,1246.68
263,88,128,4,478.87,1915.48
264,89,163,4,469.77,1879.08
265,89,52,3,449.42,1348.26
266,89,110,2,432.6,865.2
267,89,133,3,35.17,105.51
268,89,11,2,114.12,228.24
269,90,123,1,243.27,243.27
270,90,80,1,123.53,123.53
271,91,174,3,320.37,961.11
272,91,56,2,80.66,161.32
273,91,155,1,466.96,466.96
274,91,124,3,451.71,1355.13
275,91,161,3,409.47,1228.41
276,92,186,3,55.88,167.64
277,92,161,3,409.47,1228.41
278,93,56,3,80.66,241.98
279,93,126,1,136.28,136.28
280,93,51,4,374.77,1499.08
281,94,43,3,137.53,412.59
282,94,18,1,52.87,52.87
283,94,195,4,406.32,1625.28
284,94,131,1,112.76,112.76
285,95,30,3,142.6,427.8
286,95,88,4,482.36,1929.44
287,95,176,3,278.08,834.24
288,96,10,3,352.16,1056.48
289,97,71,3,435.91,1307.73
290,97,137,4,44.66,178.64
291,97,197,1,58.51,58.51
292,97,193,2,392.28,784.56
293,98,183,1,157.59,157.59
294,99,174,4,320.37,1281.48
295,99,50,3,282.88,848.64
296,99,110,4,432.6,1730.4
297,99,62,2,341.74,683.48
298,100,124,4,451.71,1806.84
299,100,50,3,282.88,848.64
300,100,77,1,165.46,165.46
301,100,72,3,421.63,1264.89
302,100,16,2,478.82,957.64
303,101,99,1,34.14,34.14
304,101,72,3,421.63,1264.89
305,101,158,3,417.7,1253.1
306,102,132,4,291.69,1166.76
307,103,184,3,449.97,1349.91
308,104,76,2,459.65,919.3
309,105,117,2,234.0,468.0
310,105,64,1,376.68,376.68
311,105,70,3,256.3,768.9
312,106,132,1,291.69,291.69
313,106,186,1,55.88,55.88
314,107,172,3,415.53,1246.59
315,107,194,1,402.11,402.11
316,107,57,2,397.08,794.16
317,107,9,3,103.42,310.26
318,107,30,1,142.6,142.6
319,108,165,4,372.5,1490.0
320,109,42,2,403.5,807.0
321,109,151,1,9.61,9.61
322,109,32,3,188.24,564.72
323,109,18,4,52.87,211.48
324,110,77,4,165.46,661.84
325,110,71,1,435.91,435.91
326,110,65,4,173.39,693.56
327,110,153,4,41.26,165.04
328,111,123,2,243.27,486.54
329,111,2,1,141.14,141.14
330,111,166,2,139.81,279.62
331,111,63,3,342.45,1027.35
332,111,147,3,123.15,369.45
333,112,38,4,192.83,771.32
334,112,194,1,402.11,402.11
335,112,111,1,338.32,338.32
336,112,95,2,36.69,73.38
337,113,167,3,109.26,327.78
338,113,56,4,80.66,322.64
339,113,7,4,113.23,452.92
340,113,32,4,188.24,752.96
341,114,48,3,232.13,696.39
342,114,182,3,217.74,653.22
343,114,194,2,402.11,804.22
344,115,21,1,66.79,66.79
345,116,7,1,113.23,113.23
346,116,42,3,403.5,1210.5
347,117,110,1,432.6,432.6
348,117,55,3,379.11,1137.33
349,117,38,3,192.83,578.49
350,117,198,3,430.0,1290.0
351,118,5,4,48.03,192.12
352,118,198,2,430.0,860.0
353,119,135,3,241.01,723.03
354,120,19,1,303.84,303.84
355,120,1,3,60.11,180.33
356,120,29,1,433.91,433.91
357,120,52,2,449.42,898.84
358,120,82,3,47.4,142.2
359,121,166,1,139.81,139.81
360,121,113,2,365.47,730.94
361,121,46,2,110.25,220.5
362,122,39,1,345.64,345.64
363,122,127,1,146.2,146.2
364,123,10,4,352.16,1408.64
365,123,180,3,22.83,68.49
366,123,93,2,450.31,900.62
367,123,161,3,409.47,1228.41
368,124,76,2,459.65,919.3
369,125,150,3,464.86,1394.58
370,126,127,4,146.2,584.8
371,126,80,4,123.53,494.12
372,126,17,3,55.59,166.77
373,126,83,2,408.93,817.86
374,126,135,1,241.01,241.01
375,127,6,4,20.73,82.92
376,127,98,3,40.14,120.42
377,127,43,1,137.53,137.53
378,127,50,2,282.88,565.76
379,127,113,4,365.47,1461.88
380,128,64,2,376.68,753.36
381,128,30,2,142.6,285.2
382,128,48,3,232.13,696.39
383,129,50,4,282.88,1131.52
384,129,179,2,452.44,904.88
385,129,151,2,9.61,19.22
386,129,111,4,338.32,1353.28
387,130,119,4,53.46,213.84
388,131,34,1,468.64,468.64
389,131,146,3,336.51,1009.53
390,131,186,4,55.88,223.52
391,131,158,4,417.7,1670.8
392,132,182,4,217.74,870.96
393,133,122,1,87.32,87.32
394,133,90,4,104.57,418.28
395,133,195,1,406.32,406.32
396,134,137,1,44.66,44.66
397,134,152,4,499.23,1996.92
398,134,44,3,457.0,1371.0
399,134,134,3,33.3,99.9
400,134,154,2,255.41,510.82
401,135,35,1,40.34,40.34
402,135,187,2,442.65,885.3
403,135,105,3,290.22,870.66
404,135,36,3,89.71,269.13
405,135,138,2,38.92,77.84
406,136,94,2,64.9,129.8
407,136,7,2,113.23,226.46
408,137,82,4,47.4,189.6
409,137,157,3,146.07,438.21
410,137,144,3,284.79,854.37
411,137,15,2,142.55,285.1
412,138,18,3,52.87,158.61
413,138,40,1,343.88,343.88
414,138,91,3,202.5,607.5
415,139,88,1,482.36,482.36
416,139,71,1,435.91,435.91
417,139,186,3,55.88,167.64
418,139,95,3,36.69,110.07
419,140,49,4,74.12,296.48
420,140,27,4,117.81,471.24
421,140,30,1,142.6,142.6
422,140,132,4,291.69,1166.76
423,140,87,2,436.85,873.7
424,141,199,4,103.79,415.16
425,142,73,2,306.44,612.88
426,143,82,2,47.4,94.8
427,143,26,3,39.43,118.29
428,143,86,3,86.74,260.22
429,143,6,3,20.73,62.19
430,144,174,1,320.37,320.37
431,144,23,3,415.56,1246.68
432,144,172,1,415.53,415.53
433,144,55,3,379.11,1137.33
434,144,155,1,466.96,466.96
435,145,52,2,449.42,898.84
436,145,140,3,204.87,614.61
437,145,68,1,438.55,438.55
438,146,182,4,217.74,870.96
439,146,27,2,117.81,235.62
440,146,112,1,53.72,53.72
441,147,199,1,103.79,103.79
442,147,150,4,464.86,1859.44
443,148,2,2,141.14,282.28
444,148,47,2,200.84,401.68
445,148,199,3,103.79,311.37
446,149,18,1,52.87,52.87
447,149,157,3,146.07,438.21
448,150,32,2,188.24,376.48
449,150,144,4,284.79,1139.16
450,150,149,2,153.5,307.0
451,151,39,1,345.64,345.64
452,151,143,4,212.52,850.08
453,151,172,3,415.53,1246.59
454,151,61,2,431.09,862.18
455,152,24,2,443.3,886.6
456,152,105,3,290.22,870.66
457,153,115,4,270.46,1081.84
458,153,95,4,36.69,146.76
459,153,103,3,111.05,333.15
460,154,64,2,376.68,753.36
461,154,136,2,82.93,165.86
462,155,197,1,58.51,58.51
463,155,118,1,224.35,224.35
464,155,182,3,217.74,653.22
465,156,14,2,350.58,701.16
466,156,185,4,342.62,1370.48
467,156,5,1,48.03,48.03
468,156,19,2,303.84,607.68
469,157,163,1,469.77,469.77
470,157,7,4,113.23,452.92
471,157,195,3,406.32,1218.96
472,157,40,2,343.88,687.76
473,158,51,3,374.77,1124.31
474,159,81,2,439.61,879.22
475,159,98,1,40.14,40.14
476,160,124,4,451.71,1806.84
477,160,108,4,331.2,1324.8
478,161,63,3,342.45,1027.35
479,162,157,3,146.07,438.21
480,163,188,4,487.05,1948.2
481,163,156,4,440.24,1760.96
482,164,89,1,378.86,378.86
483,164,40,2,343.88,687.76
484,164,112,2,53.72,107.44
485,164,85,3,331.58,994.74
486,164,12,4,142.7,570.8
487,165,41,4,118.38,473.52
488,165,97,2,296.28,592.56
489,165,81,1,439.61,439.61
490,165,127,3,146.2,438.6
491,165,76,1,459.65,459.65
492,166,188,4,487.05,1948.2
493,166,55,1,379.11,379.11
494,166,82,4,47.4,189.6
495,166,139,3,339.23,1017.69
496,167,23,3,415.56,1246.68
497,168,78,3,60.37,181.11
498,168,142,2,24.67,49.34
499,168,196,1,83.8,83.8
500,168,93,3,450.31,1350.93
501,168,148,3,69.78,209.34
502,169,9,2,103.42,206.84
503,169,38,2,192.83,385.66
504,169,50,1,282.88,282.88
505,169,41,4,118.38,473.52
506,170,166,1,139.81,139.81
507,170,165,3,372.5,1117.5
508,171,136,1,82.93,82.93
509,171,72,2,421.63,843.26
510,171,131,3,112.76,338.28
511,172,58,3,300.22,900.66
512,172,74,1,190.09,190.09
513,172,187,3,442.65,1327.95
514,173,194,3,402.11,1206.33
515,173,81,2,439.61,879.22
516,173,155,4,466.96,1867.84
517,173,70,4,256.3,1025.2
518,174,170,4,246.82,987.28
519,175,173,3,6.76,20.28
520,175,38,3,192.83,578.49
521,175,86,1,86.74,86.74
522,175,55,1,379.11,379.11
523,175,53,3,184.19,552.57
524,176,87,4,436.85,1747.4
525,176,189,2,81.5,163.0
526,176,89,4,378.86,1515.44
527,176,118,3,224.35,673.05
528,176,190,4,432.98,1731.92
529,177,68,4,438.55,1754.2
530,177,157,3,146.07,438.21
531,177,175,1,84.98,84.98
532,177,86,1,86.74,86.74
533,177,89,4,378.86,1515.44
534,178,10,2,352.16,704.32
535,179,118,2,224.35,448.7
536,180,53,4,184.19,736.76
537,180,180,1,22.83,22.83
538,180,146,2,336.51,673.02
539,181,33,4,336.74,1346.96
540,181,179,1,452.44,452.44
541,181,113,2,365.47,730.94
542,182,54,2,257.22,514.44
543,182,98,1,40.14,40.14
544,182,20,1,366.22,366.22
545,183,16,1,478.82,478.82
546,183,45,3,438.8,1316.4
547,183,50,3,282.88,848.64
548,183,126,4,136.28,545.12
549,183,12,2,142.7,285.4
550,184,145,1,467.68,467.68
551,184,147,2,123.15,246.3
552,185,106,3,393.39,1180.17
553,186,6,3,20.73,62.19
554,186,81,3,439.61,1318.83
555,186,93,2,450.31,900.62
556,186,87,2,436.85,873.7
557,186,91,3,202.5,607.5
558,187,31,2,417.88,835.76
559,187,12,4,142.7,570.8
560,188,84,2,384.09,768.18
561,188,91,1,202.5,202.5
562,188,150,1,464.86,464.86
563,188,23,3,415.56,1246.68
564,189,140,4,204.87,819.48
565,189,22,4,44.01,176.04
566,189,176,1,278.08,278.08
567,189,113,2,365.47,730.94
568,189,181,3,293.34,880.02
569,190,148,3,69.78,209.34
570,190,152,2,499.23,998.46
571,190,164,2,135.91,271.82
572,190,116,2,213.83,427.66
573,190,188,4,487.05,1948.2
574,191,186,2,55.88,111.76
575,192,28,3,492.68,1478.04
576,192,61,3,431.09,1293.27
577,193,157,3,146.07,438.21
578,193,125,1,192.59,192.59
579,194,162,3,466.22,1398.66
580,194,127,1,146.2,146.2
581,195,117,4,234.0,936.0
582,195,101,1,40.07,40.07
583,196,4,4,339.97,1359.88
584,196,198,2,430.0,860.0
585,196,28,4,492.68,1970.72
586,197,143,4,212.52,850.08
587,197,141,4,126.88,507.52
588,198,149,2,153.5,307.0
589,198,152,3,499.23,1497.69
590,198,45,3,438.8,1316.4
591,198,108,3,331.2,993.6
592,198,121,4,484.65,1938.6
593,199,106,2,393.39,786.78
594,199,112,4,53.72,214.88
595,199,91,1,202.5,202.5
596,200,159,1,154.75,154.75
597,201,104,2,363.06,726.12
598,201,110,3,432.6,1297.8
599,202,115,4,270.46,1081.84
600,202,95,4,36.69,146.76
601,203,32,1,188.24,188.24
602,204,71,3,435.91,1307.73
603,204,96,1,296.21,296.21
604,205,112,1,53.72,53.72
605,205,26,1,39.43,39.43
606,205,137,4,44.66,178.64
607,206,91,3,202.5,607.5
608,206,20,1,366.22,366.22
609,206,63,4,342.45,1369.8
610,206,36,1,89.71,89.71
611,207,94,3,64.9,194.7
612,207,99,1,34.14,34.14
613,207,151,4,9.61,38.44
614,207,131,4,112.76,451.04
615,207,172,3,415.53,1246.59
616,208,102,1,142.85,142.85
617,208,196,4,83.8,335.2
618,209,16,2,478.82,957.64
619,209,89,4,378.86,1515.44
620,210,58,3,300.22,900.66
621,210,91,4,202.5,810.0
622,211,132,3,291.69,875.07
623,211,95,2,36.69,73.38
624,211,53,4,184.19,736.76
625,212,79,3,439.97,1319.91
626,212,141,4,126.88,507.52
627,212,127,3,146.2,438.6
628,212,110,4,432.6,1730.4
629,212,89,1,378.86,378.86
630,213,184,3,449.97,1349.91
631,213,77,1,165.46,165.46
632,213,173,4,6.76,27.04
633,213,157,3,146.07,438.21
634,214,40,4,343.88,1375.52
635,215,78,2,60.37,120.74
636,215,183,1,157.59,157.59
637,216,42,4,403.5,1614.0
638,217,23,4,415.56,1662.24
639,217,11,4,114.12,456.48
640,218,20,2,366.22,732.44
641,218,81,3,439.61,1318.83
642,218,19,4,303.84,1215.36
643,218,139,4,339.23,1356.92
644,218,79,3,439.97,1319.91
645,219,42,3,403.5,1210.5
646,219,183,3,157.59,472.77
647,219,68,4,438.55,1754.2
648,219,12,2,142.7,285.4
649,219,112,2,53.72,107.44
650,220,171,3,50.69,152.07
651,220,18,2,52.87,105.74
652,220,179,4,452.44,1809.76
653,221,180,1,22.83,22.83
654,221,99,4,34.14,136.56
655,221,194,4,402.11,1608.44
656,222,80,1,123.53,123.53
657,222,23,3,415.56,1246.68
658,222,75,1,271.99,271.99
659,223,143,2,212.52,425.04
660,223,38,2,192.83,385.66
661,223,123,3,243.27,729.81
662,223,13,3,380.61,1141.83
663,224,40,1,343.88,343.88
664,224,140,2,204.87,409.74
665,225,68,3,438.55,1315.65
666,225,187,4,442.65,1770.6
667,225,64,1,376.68,376.68
668,225,100,2,453.18,906.36
669,226,81,4,439.61,1758.44
670,226,177,4,282.65,1130.6
671,226,71,2,435.91,871.82
672,226,195,3,406.32,1218.96
673,227,64,2,376.68,753.36
674,228,33,4,336.74,1346.96
675,228,9,2,103.42,206.84
676,229,62,3,341.74,1025.22
677,229,81,1,439.61,439.61
678,230,8,3,303.0,909.0
679,230,98,4,40.14,160.56
680,230,134,4,33.3,133.2
681,231,133,2,35.17,70.34
682,231,138,1,38.92,38.92
683,231,194,3,402.11,1206.33
684,232,88,1,482.36,482.36
685,232,190,3,432.98,1298.94
686,233,165,4,372.5,1490.0
687,233,19,4,303.84,1215.36
688,234,79,2,439.97,879.94
689,235,8,3,303.0,909.0
690,236,75,3,271.99,815.97
691,236,195,1,406.32,406.32
692,236,154,3,255.41,766.23
693,237,50,1,282.88,282.88
694,238,75,3,271.99,815.97
695,238,41,1,118.38,118.38
696,238,174,3,320.37,961.11
697,238,132,3,291.69,875.07
698,238,59,2,193.9,387.8
699,239,199,3,103.79,311.37
700,239,77,4,165.46,661.84
701,239,109,4,214.67,858.68
702,239,153,2,41.26,82.52
703,240,175,4,84.98,339.92
704,240,153,3,41.26,123.78
705,240,37,1,126.18,126.18
706,240,151,1,9.61,9.61
707,240,5,1,48.03,48.03
708,241,81,2,439.61,879.22
709,241,1,2,60.11,120.22
710,241,72,3,421.63,1264.89
711,241,79,4,439.97,1759.88
712,241,83,1,408.93,408.93
713,242,102,4,142.85,571.4
714,243,167,1,109.26,109.26
715,243,181,4,293.34,1173.36
716,243,64,3,376.68,1130.04
717,243,50,1,282.88,282.88
718,244,173,1,6.76,6.76
719,244,97,1,296.28,296.28
720,245,114,1,128.08,128.08
721,245,40,1,343.88,343.88
722,245,200,4,178.08,712.32
723,245,136,1,82.93,82.93
724,245,124,3,451.71,1355.13
725,246,108,3,331.2,993.6
726,246,132,4,291.69,1166.76
727,246,146,4,336.51,1346.04
728,246,100,4,453.18,1812.72
729,247,100,1,453.18,453.18
730,247,26,2,39.43,78.86
731,247,179,4,452.44,1809.76
732,248,88,1,482.36,482.36
733,249,161,4,409.47,1637.88
734,249,39,2,345.64,691.28
735,249,52,2,449.42,898.84
736,249,66,4,220.21,880.84
737,249,100,3,453.18,1359.54
738,250,67,4,6.61,26.44
739,251,115,2,270.46,540.92
740,251,107,1,99.25,99.25
741,252,16,1,478.82,478.82
742,252,139,2,339.23,678.46
743,252,157,1,146.07,146.07
744,252,131,4,112.76,451.04
745,252,148,4,69.78,279.12
746,253,106,3,393.39,1180.17
747,253,155,2,466.96,933.92
748,254,88,3,482.36,1447.08
749,254,102,2,142.85,285.7
750,255,175,3,84.98,254.94
751,255,152,1,499.23,499.23
752,255,110,2,432.6,865.2
753,256,44,3,457.0,1371.0
754,257,185,4,342.62,1370.48
755,257,117,2,234.0,468.0
756,257,27,3,117.81,353.43
757,257,118,4,224.35,897.4
758,258,69,2,486.08,972.16
759,258,153,3,41.26,123.78
760,259,127,4,146.2,584.8
761,260,65,2,173.39,346.78
762,260,6,3,20.73,62.19
763,260,115,2,270.46,540.92
764,260,100,3,453.18,1359.54
765,261,50,1,282.88,282.88
766,261,123,2,243.27,486.54
767,261,113,1,365.47,365.47
768,262,66,2,220.21,440.42
769,263,182,2,217.74,435.48
770,263,187,3,442.65,1327.95
771,263,39,3,345.64,1036.92
772,263,121,1,484.65,484.65
773,264,185,2,342.62,685.24
774,264,61,2,431.09,862.18
775,264,64,4,376.68,1506.72
776,264,8,2,303.0,606.0
777,265,128,4,478.87,1915.48
778,265,199,3,103.79,311.37
779,265,197,3,58.51,175.53
780,265,139,3,339.23,1017.69
781,266,160,1,266.83,266.83
782,266,173,4,6.76,27.04
783,266,164,3,135.91,407.73
784,266,3,2,74.07,148.14
785,267,75,2,271.99,543.98
786,267,146,2,336.51,673.02
787,267,136,1,82.93,82.93
788,267,60,3,266.91,800.73
789,267,200,4,178.08,712.32
790,268,47,4,200.84,803.36
791,268,25,2,290.79,581.58
792,269,13,4,380.61,1522.44
793,269,68,4,438.55,1754.2
794,269,146,4,336.51,1346.04
795,270,30,2,142.6,285.2
796,270,194,4,402.11,1608.44
797,271,72,1,421.63,421.63
798,271,84,1,384.09,384.09
799,271,144,1,284.79,284.79
800,271,88,1,482.36,482.36
801,271,13,4,380.61,1522.44
802,272,187,2,442.65,885.3
803,273,120,1,499.64,499.64
804,273,126,4,136.28,545.12
805,273,71,4,435.91,1743.64
806,274,39,1,345.64,345.64
807,275,93,4,450.31,1801.24
808,276,70,2,256.3,512.6
809,276,52,2,449.42,898.84
810,276,144,2,284.79,569.58
811,276,133,3,35.17,105.51
812,276,102,3,142.85,428.55
813,277,115,4,270.46,1081.84
814,277,89,4,378.86,1515.44
815,277,139,2,339.23,678.46
816,278,157,1,146.07,146.07
817,279,147,1,123.15,123.15
818,280,161,3,409.47,1228.41
819,280,106,1,393.39,393.39
820,280,178,1,42.25,42.25
821,280,60,2,266.91,533.82
822,281,197,1,58.51,58.51
823,281,164,1,135.91,135.91
824,281,36,3,89.71,269.13
825,282,199,3,103.79,311.37
826,282,113,1,365.47,365.47
827,283,162,3,466.22,1398.66
828,284,123,3,243.27,729.81
829,284,62,4,341.74,1366.96
830,284,157,2,146.07,292.14
831,284,104,1,363.06,363.06
832,284,24,3,443.3,1329.9
833,285,137,3,44.66,133.98
834,286,110,1,432.6,432.6
835,286,3,3,74.07,222.21
836,286,119,4,53.46,213.84
837,287,29,2,433.91,867.82
838,287,180,4,22.83,91.32
839,287,169,1,427.19,427.19
840,287,166,3,139.81,419.43
841,288,43,2,137.53,275.06
842,288,82,4,47.4,189.6
843,288,168,2,105.78,211.56
844,289,192,1,93.78,93.78
845,290,171,1,50.69,50.69
846,290,92,2,326.69,653.38
847,290,53,1,184.19,184.19
848,291,103,1,111.05,111.05
849,292,52,3,449.42,1348.26
850,292,17,4,55.59,222.36
851,292,199,1,103.79,103.79
852,292,122,3,87.32,261.96
853,292,130,4,81.62,326.48
854,293,115,2,270.46,540.92
855,293,195,4,406.32,1625.28
856,293,80,2,123.53,247.06
857,293,41,2,118.38,236.76
858,293,165,3,372.5,1117.5
